Year,Month,Station_ID,Station_Name,Water_Class,DO,BOD,TSS,pH,Temperature,Fecal_Coliform,DO_Temp_Ratio,pH_Deviation,WQI,WQI_Class
2021.0,8.0,7.0,Upstream Passi I,C,9.2,1.0,154.0,7.0,29.0,350000.0,0.3172413793103448,0.0,71744.94419047619,High Risk
2021.0,8.0,8.0,Calinog Bridge (Class A),A,9.4,1.0,226.0,7.0,26.0,350000.0,0.36153846153846153,0.0,71747.15819047618,High Risk
2021.0,8.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,9.0,1.0,48.0,7.0,26.0,240000.0,0.34615384615384615,0.0,49194.38219047619,High Risk
2021.0,9.0,1.0,"Inland Fisheries, Leganes",C,8.3,4.0,165.0,7.0,31.0,49000.0,0.267741935483871,0.0,10080.596428571429,High Risk
2021.0,9.0,10.0,Alibunan Upstream (Class A),A,7.1,1.0,30.0,8.0,29.0,33000.0,0.24482758620689654,1.0,6792.3361904761905,High Risk
2021.0,9.0,2.0,Barotac Nuevo Bridge,C,8.6,4.0,128.0,7.0,31.0,23000.0,0.27741935483870966,0.0,4749.547428571428,High Risk
2021.0,9.0,3.0,Moroboro Dam,C,6.5,3.0,61.0,7.0,31.0,7800.0,0.20967741935483872,0.0,1632.0055714285716,High Risk
2021.0,9.0,4.0,Duenas Bridge,C,7.5,4.0,195.0,7.0,31.0,7800.0,0.24193548387096775,0.0,1642.8164285714286,High Risk
2021.0,9.0,5.0,Downstream Passi II,C,7.2,3.0,70.0,7.0,30.0,49000.0,0.24000000000000002,0.0,10072.095238095239,High Risk
2021.0,9.0,6.0,Downstream Passi I,C,7.6,5.0,92.0,7.0,31.0,14000.0,0.24516129032258063,0.0,2906.4182857142855,High Risk
2021.0,9.0,7.0,Upstream Passi I,C,6.7,2.0,64.0,7.0,30.0,130000.0,0.22333333333333333,0.0,26667.65538095238,High Risk
2021.0,9.0,8.0,Calinog Bridge (Class A),A,8.3,3.0,43.0,7.0,28.0,33000.0,0.29642857142857143,0.0,6787.039571428571,High Risk
2021.0,9.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,8.8,5.0,27.0,8.0,29.0,23000.0,0.303448275862069,1.0,4747.096619047619,High Risk
